@relation Dry_bean

@attribute ﻿Area numeric
@attribute Perimeter numeric
@attribute MajorAxisLength numeric
@attribute MinorAxisLength numeric
@attribute AspectRation numeric
@attribute Eccentricity numeric
@attribute ConvexArea numeric
@attribute EquivDiameter numeric
@attribute Extent numeric
@attribute Solidity numeric
@attribute roundness numeric
@attribute Compactness numeric
@attribute ShapeFactor1 numeric
@attribute ShapeFactor2 numeric
@attribute ShapeFactor3 numeric
@attribute ShapeFactor4 numeric
@attribute Class {SEKER,BARBUNYA,BOMBAY,CALI,HOROZ,SIRA,DERMASON}

@data
32947,668.231,209.693293,200.249599,1.04716,0.296721,33336,204.815584,0.765319,0.988331,0.927198,0.976739,0.006365,0.003573,0.954019,0.99901,SEKER
32951,688.26,226.649046,185.521576,1.221686,0.574448,33524,204.828016,0.770802,0.982908,0.874125,0.903723,0.006878,0.00283,0.816716,0.99777,SEKER
32988,676.797,224.75171,187.177294,1.200742,0.553547,33461,204.942983,0.766699,0.985864,0.905001,0.911864,0.006813,0.002906,0.831496,0.998412,SEKER
33006,669.769,223.527749,188.242941,1.187443,0.53925,33458,204.998889,0.757018,0.986491,0.924597,0.917107,0.006772,0.002955,0.841085,0.998741,SEKER
33010,665.85,224.971259,186.890092,1.203762,0.556677,33374,205.01131,0.791588,0.989093,0.935627,0.911278,0.006815,0.002899,0.830427,0.999637,SEKER
33013,652.684,223.781854,188.029142,1.190145,0.542224,33289,205.020626,0.789785,0.991709,0.973843,0.916163,0.006779,0.002946,0.839354,0.998953,SEKER
33019,655.703,224.450211,187.502627,1.197051,0.549663,33340,205.039256,0.764329,0.990372,0.965071,0.913518,0.006798,0.00292,0.834515,0.998957,SEKER
33051,663.071,218.951371,192.473942,1.137564,0.47669,33423,205.138588,0.777927,0.98887,0.944658,0.936914,0.006625,0.003149,0.877808,0.998562,SEKER
33058,655.511,224.445879,187.878161,1.194635,0.547087,33320,205.16031,0.799275,0.992137,0.966777,0.914075,0.006789,0.002924,0.835533,0.998157,SEKER
33062,667.966,222.039144,189.781341,1.169974,0.519089,33439,205.172722,0.778662,0.988726,0.931173,0.924039,0.006716,0.00302,0.853847,0.998979,SEKER
33078,659.456,235.560078,178.931233,1.316484,0.650392,33333,205.222362,0.787721,0.99235,0.955823,0.87121,0.007121,0.002531,0.759007,0.999221,SEKER
33078,652.214,221.386902,190.354812,1.163022,0.510583,33327,205.222362,0.772417,0.992529,0.977167,0.926985,0.006693,0.003048,0.859301,0.999387,SEKER
33089,663.915,217.335822,194.207049,1.119093,0.448903,33466,205.256482,0.77441,0.988735,0.943341,0.944421,0.006568,0.003223,0.891931,0.998154,SEKER
33090,653.809,228.406675,184.688555,1.236713,0.588365,33352,205.259583,0.769356,0.992144,0.972758,0.898658,0.006903,0.002777,0.807587,0.998753,SEKER
33143,648.385,222.526309,189.737379,1.172812,0.52248,33377,205.423899,0.76998,0.992989,0.990685,0.923144,0.006714,0.003008,0.852195,0.999465,SEKER
33159,653.801,222.444029,189.98042,1.170879,0.520175,33415,205.473478,0.788111,0.992339,0.97481,0.923709,0.006708,0.003013,0.853238,0.999038,SEKER
33168,680.621,234.315548,180.582754,1.297552,0.63722,33542,205.501361,0.76124,0.98885,0.899743,0.877028,0.007065,0.002578,0.769179,0.998049,SEKER
33171,654.338,222.253649,190.361453,1.167535,0.516138,33429,205.510654,0.790237,0.992282,0.973563,0.924667,0.0067,0.003021,0.855009,0.998253,SEKER
33194,664.658,232.308544,182.085602,1.275821,0.621002,33520,205.58189,0.773699,0.990274,0.94422,0.884952,0.006999,0.002648,0.78314,0.999146,SEKER
33236,660.788,210.858002,200.927367,1.049424,0.303273,33611,205.711909,0.768285,0.988843,0.956521,0.975595,0.006344,0.003545,0.951785,0.998826,SEKER
33248,660.068,230.969835,183.429249,1.259177,0.607696,33511,205.749042,0.787662,0.992152,0.958955,0.890805,0.006947,0.002698,0.793533,0.999199,SEKER
33251,658.962,217.452163,194.983483,1.115234,0.442694,33565,205.758324,0.757944,0.990645,0.962263,0.946223,0.00654,0.003234,0.895339,0.998512,SEKER
33276,704.493,234.788138,180.705496,1.299286,0.638462,33857,205.83566,0.759657,0.98284,0.842534,0.876687,0.007056,0.002571,0.76858,0.998605,SEKER
33316,670.587,229.218083,185.279361,1.237148,0.588757,33699,205.959337,0.782617,0.988635,0.931006,0.89853,0.00688,0.002766,0.807356,0.99882,SEKER
33319,668.601,225.017238,188.83651,1.191598,0.543809,33732,205.96861,0.796039,0.987756,0.936629,0.915346,0.006753,0.002924,0.837858,0.99839,SEKER
33325,674.433,223.825484,189.735706,1.17967,0.530484,33701,205.987155,0.798969,0.988843,0.920667,0.920303,0.006716,0.002972,0.846957,0.999129,SEKER
33330,653.776,224.360167,189.431387,1.184387,0.535842,33580,206.002607,0.790185,0.992555,0.979912,0.918178,0.006731,0.002951,0.843051,0.998499,SEKER
33333,679.262,220.531291,192.716706,1.144329,0.486151,33834,206.011878,0.772241,0.985192,0.907841,0.934162,0.006616,0.003108,0.872658,0.998608,SEKER
33338,659.103,232.263794,182.918509,1.269766,0.616255,33639,206.027328,0.776747,0.991052,0.964368,0.88704,0.006967,0.002661,0.78684,0.999104,SEKER
33344,661.508,225.318056,188.668526,1.194254,0.546678,33692,206.045867,0.763352,0.989671,0.957541,0.914467,0.006757,0.002915,0.836249,0.998694,SEKER
33382,659.434,222.870104,190.920249,1.167347,0.515909,33730,206.163242,0.781688,0.989683,0.964672,0.925038,0.006676,0.003015,0.855695,0.998892,SEKER
33399,664.701,221.559943,192.089888,1.153418,0.498328,33752,206.215731,0.761491,0.989541,0.949928,0.930745,0.006634,0.003071,0.866286,0.999189,SEKER
33421,654.804,219.544082,194.02539,1.131522,0.467931,33691,206.283637,0.763385,0.991986,0.979505,0.9396,0.006569,0.003158,0.882848,0.998963,SEKER
33423,659.036,224.168053,189.98108,1.179949,0.530805,33707,206.289809,0.772983,0.991574,0.967023,0.920246,0.006707,0.002967,0.846853,0.999244,SEKER
33427,665.61,228.223182,186.625866,1.222891,0.575596,33789,206.302153,0.754492,0.989286,0.948129,0.903949,0.006828,0.002812,0.817124,0.999254,SEKER
33429,658.605,229.44609,185.698093,1.235587,0.587351,33713,206.308324,0.791744,0.991576,0.968463,0.899158,0.006864,0.002767,0.808485,0.998954,SEKER
33431,666.841,219.907408,193.680468,1.135413,0.473607,33788,206.314496,0.788709,0.989434,0.944745,0.938188,0.006578,0.003144,0.880197,0.999387,SEKER
33433,657.349,225.002512,189.566015,1.186935,0.538687,33708,206.320667,0.776807,0.991842,0.972284,0.916971,0.00673,0.002935,0.840835,0.998016,SEKER
33446,656.077,224.233934,190.256599,1.178587,0.529238,33713,206.360776,0.767815,0.99208,0.976437,0.920292,0.006704,0.002966,0.846938,0.99819,SEKER
33447,664.412,226.118615,188.740641,1.198039,0.550709,33791,206.363861,0.770225,0.98982,0.952121,0.912635,0.006761,0.002893,0.832903,0.997851,SEKER
33459,655.414,219.129947,194.5431,1.126383,0.460234,33765,206.400877,0.786309,0.990937,0.978794,0.941911,0.006549,0.00318,0.887196,0.999322,SEKER
33468,659.987,224.459939,189.954346,1.181652,0.53275,33748,206.428634,0.79233,0.991703,0.965537,0.919668,0.006707,0.002959,0.845789,0.999429,SEKER
33498,657.523,227.938077,187.316054,1.216864,0.569798,33745,206.521133,0.781495,0.99268,0.973659,0.906041,0.006805,0.002829,0.820909,0.998935,SEKER
33534,657.067,218.844752,195.192854,1.121172,0.452186,33793,206.632076,0.783505,0.992336,0.976059,0.944195,0.006526,0.003199,0.891504,0.999529,SEKER
33538,658.284,227.518681,187.944052,1.210566,0.563582,33800,206.644399,0.760516,0.992249,0.972569,0.908252,0.006784,0.002848,0.824923,0.998623,SEKER
33539,662.418,223.683536,191.200602,1.169889,0.518988,33915,206.64748,0.764265,0.988913,0.960496,0.923839,0.006669,0.002997,0.853478,0.998474,SEKER
33547,653.512,213.754071,199.925701,1.069168,0.353837,33832,206.672124,0.78357,0.991576,0.987089,0.966869,0.006372,0.003435,0.934835,0.999495,SEKER
33560,669.259,227.936177,187.856592,1.213352,0.566352,33897,206.712165,0.739859,0.990058,0.94155,0.906886,0.006792,0.002834,0.822443,0.997912,SEKER
33576,666.339,224.588725,190.463018,1.179172,0.529912,33927,206.761435,0.761792,0.989654,0.950273,0.920623,0.006689,0.002964,0.847546,0.999403,SEKER
33583,657.754,221.711051,192.950409,1.149057,0.49256,33868,206.782987,0.775302,0.991585,0.975444,0.932669,0.006602,0.003081,0.869871,0.999532,SEKER
33584,658.848,223.735183,191.354482,1.169218,0.518179,33884,206.786066,0.748057,0.991146,0.972236,0.924245,0.006662,0.002999,0.854228,0.998779,SEKER
33607,690.171,214.765297,199.524143,1.076388,0.369996,34162,206.856862,0.770803,0.983754,0.886597,0.963176,0.00639,0.003393,0.927709,0.998574,SEKER
33620,670.224,222.776083,192.226032,1.158928,0.505432,34012,206.896867,0.783245,0.988475,0.940519,0.928721,0.006626,0.003041,0.862523,0.999602,SEKER
33623,659.408,217.371862,197.083783,1.102941,0.421848,33918,206.906098,0.793238,0.991303,0.971713,0.951853,0.006465,0.003274,0.906024,0.999292,SEKER
33631,669.076,224.8894,190.753366,1.178954,0.529661,34009,206.930711,0.762884,0.988885,0.944058,0.920144,0.006687,0.002957,0.846666,0.99818,SEKER
33639,663.03,224.662906,190.853101,1.177151,0.527575,33919,206.955321,0.786252,0.991745,0.961583,0.921182,0.006679,0.002967,0.848575,0.998901,SEKER
33717,664.363,231.622525,185.653126,1.247609,0.59795,33985,207.19512,0.766226,0.992114,0.959948,0.894538,0.00687,0.002713,0.800198,0.998334,SEKER
33731,671.696,231.172013,186.126456,1.242016,0.593081,34073,207.238131,0.803215,0.989963,0.939493,0.896467,0.006853,0.00273,0.803653,0.99815,SEKER
33736,655.729,221.390268,194.135952,1.140388,0.480683,33988,207.25349,0.786864,0.992586,0.985949,0.936145,0.006562,0.003109,0.876368,0.9994,SEKER
33794,665.826,218.999894,196.577722,1.114063,0.440779,34127,207.431572,0.777732,0.990242,0.957917,0.947177,0.00648,0.003217,0.897143,0.999474,SEKER
33809,669.341,230.247497,187.1643,1.230189,0.582427,34143,207.477603,0.784068,0.990218,0.948303,0.901107,0.00681,0.00277,0.811994,0.998906,SEKER
33824,656.339,220.753865,195.281545,1.130439,0.466328,34079,207.523624,0.788438,0.992517,0.986685,0.940068,0.006527,0.003144,0.883728,0.999,SEKER
33838,661.029,222.973514,193.483638,1.152415,0.497014,34146,207.566567,0.782128,0.99098,0.973136,0.930902,0.006589,0.003052,0.866579,0.998659,SEKER
33845,670.945,226.381605,190.521424,1.188221,0.540111,34159,207.588035,0.763927,0.990808,0.94478,0.916983,0.006689,0.002917,0.840857,0.999125,SEKER
33849,669.571,221.610481,194.671349,1.138383,0.477854,34239,207.600302,0.786272,0.988609,0.948773,0.93678,0.006547,0.00311,0.877557,0.998996,SEKER
33858,664.46,234.335001,184.139292,1.272596,0.618487,34142,207.627899,0.781254,0.991682,0.963681,0.88603,0.006921,0.002631,0.78505,0.999051,SEKER
33860,683.315,225.535015,191.521161,1.177598,0.528094,34319,207.634031,0.775183,0.986625,0.911286,0.920629,0.006661,0.002952,0.847557,0.998082,SEKER
33864,662.898,221.216426,195.063518,1.134074,0.471667,34167,207.646295,0.7716,0.991132,0.9684,0.938657,0.006532,0.003128,0.881077,0.999206,SEKER
33866,668.421,230.931159,186.860875,1.235845,0.587585,34171,207.652427,0.799934,0.991074,0.952519,0.899196,0.006819,0.00275,0.808554,0.999248,SEKER
33876,666.966,228.149173,189.164787,1.206087,0.559059,34211,207.683083,0.788272,0.990208,0.956962,0.910295,0.006735,0.002853,0.828637,0.999409,SEKER
33930,666.214,224.150969,192.860562,1.162244,0.509611,34251,207.848545,0.762729,0.990628,0.960652,0.92727,0.006606,0.003013,0.85983,0.999332,SEKER
33946,667.313,231.54254,187.028992,1.238003,0.589522,34246,207.897546,0.791227,0.99124,0.957942,0.897881,0.006821,0.002735,0.80619,0.998065,SEKER
33946,668.564,234.754845,184.293738,1.273808,0.619435,34280,207.897546,0.761531,0.990257,0.954361,0.885594,0.006916,0.002624,0.784277,0.999019,SEKER
33961,690.353,238.192499,181.654297,1.311241,0.646827,34379,207.943474,0.770405,0.987841,0.895464,0.873006,0.007014,0.002513,0.762139,0.999348,SEKER
33961,667.497,233.113834,185.733298,1.2551,0.60431,34279,207.943474,0.771192,0.990723,0.957837,0.892025,0.006864,0.002681,0.795709,0.998695,SEKER
33969,666.389,222.361833,194.769037,1.141669,0.482474,34260,207.967964,0.764706,0.991506,0.961251,0.935268,0.006546,0.00309,0.874727,0.998649,SEKER
33972,672.812,232.988269,185.915625,1.253194,0.602709,34349,207.977147,0.785661,0.989024,0.943069,0.892651,0.006858,0.002686,0.796825,0.998576,SEKER
33993,669.092,219.750575,197.092321,1.114963,0.442252,34299,208.041419,0.778228,0.991078,0.954174,0.946716,0.006465,0.003203,0.896271,0.999309,SEKER
33996,663.743,223.096358,194.380876,1.147728,0.490774,34285,208.050599,0.764694,0.991571,0.969701,0.932559,0.006562,0.003062,0.869667,0.998141,SEKER
34004,659.963,229.059751,189.16504,1.210899,0.563915,34277,208.075076,0.781971,0.992035,0.981072,0.908388,0.006736,0.002829,0.825168,0.999195,SEKER
34027,670.16,231.657705,187.412366,1.236085,0.587801,34334,208.145435,0.778507,0.991058,0.952087,0.898504,0.006808,0.002737,0.80731,0.997904,SEKER
34036,666.067,226.92801,191.110471,1.187418,0.539222,34369,208.17296,0.753843,0.990311,0.964079,0.917352,0.006667,0.002913,0.841535,0.999254,SEKER
